url,name,desc
http://www.zp.wgpr.pl/,"Projekt ""Zamówienia publiczne w Twojej firmie""","Szkolenia z zamówień publicznych dla przedsiębiorców z województw dolnośląskiego, lubuskiego, wielkopolskiego i zachodniopomorskiego"
https://www.parp.gov.pl/component/grants/grants/wsparcie-na-utworzenie-partnerstwa,Wsparcie na rozwój współpracy (Travel Grants),
https://www.parp.gov.pl/component/grants/grants/technologie-dla-kobiet,Schemat małych grantów dla przedsiębiorczych kobiet,
https://www.parp.gov.pl/component/site/site/punkt-kontaktowy-ds-instrumentow-finansowych-ue,Krajowy Punkt Kontaktowy ds. Instrumentów Finansowych UE,Preferencyjne kredyty i gwarancje finansowane przez Unię Europejską
https://www.parp.gov.pl/component/grants/grants/badania-na-rynek-dostepnosc-plus,Badania na rynek - Dostępność Plus,Sfinansowanie wdrożenia innowacyjnych produktów powstałych w oparciu o wyniki prac badawczo – rozwojowych
https://www.parp.gov.pl/component/grants/grants/bony-na-innowacje-etap-1-uslugowy-dostepnosc-plus,Bony na innowacje dla MŚP: etap 1 usługowy - Dostępność Plus,Sfinansowanie zakupu usług badawczo-rozwojowych od jednostek naukowych.
https://www.parp.gov.pl/component/grants/grants/gov-lab-program-edukacyjny-dla-jednostek-samorzadu-terytorialnego,gov_LAB - program edukacyjny dla jednostek samorządu terytorialnego,Unikalna formuła nauki oparta o realne wyzwania administracji samorządowej.
https://www.parp.gov.pl/component/site/site/clusterfy,ClusterFY,Zintensyfikowanie współpracy w zakresie polityki klastrowej i jej regionalne ujednolicenie
https://www.parp.gov.pl/component/grants/grants/zrownowazony-transport-miejski,Zrównoważony transport miejski,"Opłacenie nowych, zintegrowanych i ekologicznych sieci transportu miejskiego"
https://www.parp.gov.pl/component/site/site/connect-scale-up,Connect & Scale Up,Łączenie kultury start-upów z zasobami dużych firm
https://www.parp.gov.pl/component/site/site/inno-lab,Inno_LAB,Wsparcie w projektowaniu innowacyjnych usług we współpracy z instytucjami publicznymi
https://www.parp.gov.pl/component/grants/grants/badania-na-rynek-konkurs-ogolny-2,Badania na rynek - konkurs ogólny,Sfinansowanie wdrożenia innowacyjnych produktów i procesów powstałych w oparciu o wyniki prac badawczo – rozwojowych
https://www.parp.gov.pl/component/grants/grants/sukcesja-w-firmach-rodzinnych,Sukcesja w firmach rodzinnych - oferta dla przedsiębiorców,"Wsparcie doradców, którzy zdiagnozują sytuację w firmie planującej sukcesję, wskażą jej potencjalne szanse i zagrożenia."
https://www.parp.gov.pl/component/grants/grants/early-warning,Early Warning,Pomoc przedsiębiorcom w trudnościach - projekt bezdotacyjny
https://www.parp.gov.pl/component/grants/grants/partnerstwo-publiczno-prywatne,Partnerstwo publiczno-prywatne dla MŚP,Przeszkolenie firm do realizacji projektów w sektorze publicznym
/een/faza-iii-sme-instrument,Coaching dla beneficjentów Horyzont 2020,
https://www.parp.gov.pl/component/grants/grants/badania-na-rynek-miasta-srednie-1,Badania na rynek - miasta średnie,Sfinansowanie wdrożenia innowacyjnych produktów i procesów powstałych w oparciu o wyniki prac badawczo – rozwojowych
https://www.parp.gov.pl/component/grants/grants/akademia-menadzera-innowacji,Akademia Menadżera Innowacji,Podniesienie kompetencji pracowników w zakresie tworzenia i wdrażania innowacji.
https://www.parp.gov.pl/component/grants/grants/granty-dla-seal-of-exellence,Granty dla Seal of Exellence,Opłacenie weryfikacji potencjału technicznego i komercyjnego
https://www.parp.gov.pl/component/grants/grants/go-to-brand,Go to Brand,Pomoc finansowa na promocję marek produktowych na rynkach zagranicznych
https://www.parp.gov.pl/component/site/site/polski-produkt-przyszlosci,Konkurs Polski Produkt Przyszłości,"Konkurs Polski Produkt Przyszłości promuje najbardziej innowacyjne wyroby i technologie, które mają szansę zaistnieć na rynku krajowym i globalnym."
https://www.parp.gov.pl/component/grants/grants/organizacja-praktyk-i-stazy-w-msp,Organizacja praktyk i staży w MŚP,Dobór praktyk i staży do potrzeb przedsiębiorstwa
https://www.parp.gov.pl/component/grants/grants/erasmus-dla-mlodych-przedsiebiorcow,Erasmus dla młodych przedsiębiorców,Uczenie się od doświadczonych przedsiębiorców z innych państw
https://www.parp.gov.pl/component/grants/grants/scale-up,Scale Up,"Wsparcie eksperckie i finansowe dla start-upów i umożliwienie nawiązania kontaktu z dużymi przedsiębiorstwami, w tym spółkami Skarbu Państwa."
https://www.parp.gov.pl/component/grants/grants/wsparcie-prawne-dla-start-upow,Wsparcie prawne dla start-upów,Sfinansowanie wsparcia prawnego dla start-upów w zakresie współpracy z inwestorami i odbiorcami usług
https://www.parp.gov.pl/component/grants/grants/wzor-na-konkurencje-i-etap-audyt-wzorniczy,Wzór na konkurencję - I etap: Audyt Wzorniczy,Sfinansowanie przeprowadzenia audytu wzorniczego i opracowania strategii wzorniczej.
https://www.parp.gov.pl/component/grants/grants/programy-akceleracyjne,Programy Akceleracyjne,"Łączymy potencjał początkujących, kreatywnych przedsiębiorców z infrastrukturą oraz doświadczeniem dużych przedsiębiorstw."
https://www.parp.gov.pl/component/grants/grants/bony-na-innowacje-dla-msp-etap-1-uslugowy,Bony na innowacje dla MŚP: etap 1 usługowy,Sfinansowanie zakupu usług badawczo-rozwojowych od jednostek naukowych.
https://www.parp.gov.pl/component/grants/grants/ochrona-wlasnosci-przemyslowej,Ochrona własności przemysłowej,Uzyskanie praw patentowych lub ochrona praw do produktu na rynku zagranicznym
https://startupspark.io/re_source/,Poland Prize powered by Lodz Special Economic Zone,
https://www.parp.gov.pl/component/grants/grants/akademia-menadzera-mmsp-kompetencje-w-zakresie-cyfryzacji-oferta-dla-przedsiebiorcow,Akademia Menadżera MMŚP – kompetencje w zakresie cyfryzacji – oferta dla przedsiębiorców,Wsparcie szkoleniowe i doradcze w zakresie transformacji cyfrowej.
https://www.kpt.krakow.pl/en/startups/poland-prize-powered-by-kpt/,Poland Prize powered by KPT,
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Finansowy - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP z sektora finansowego.
